Chip Run Info;E:\Helene-Adam-Riz-96x96-270317\jordan file\ChipRun.bml;1362290083;96.96 (136x);GE 96x96 Fast PCR+Melt v2;ROX;EvaGreen;28/03/2017 14:02:44;00:31:21;BIOMARKHD267
Application Version;4.1.3
Application Build;20140305.1515
Export Type;Table Results
Quality Threshold;0,65
Baseline Correction Method;Linear (Derivative)
Ct Threshold Method;Auto (Global)


Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;User
Chamber;Sample;Sample;Sample;EvaGreen;EvaGreen;Ct;Ct;Ct;Ct;Ct;Tm;Tm;Tm;Defined
ID;Name;Type;rConc;Name;Type;Value;Calibrated rConc;Quality;Call;Threshold;In Range;Out Range;Peak Ratio;Comments
S96-A01;H20;Blank;0;normalizer1;Reference;999;-1;0;Fail;0,0102099395112248;999;999;0;
S96-A22;H20;Blank;0;gene1;Test;999;-1;0;Fail;0,0102099395112248;999;999;0;
S96-A29;H20;Blank;0;gene4;Test;999;-1;0;Fail;0,0102099395112248;999;999;0;
S96-A67;H20;Blank;0;gene2;Test;25,6051177637142;0,0124132738003992;1;Pass;0,0102099395112248;73,9496520742796;999;1;
S96-A96;H20;Blank;0;normalizer2;Reference;26,6184684175885;0,0837375516561963;1;Pass;0,0102099395112248;79,6606410078897;999;1;
S96-A95;H20;Blank;0;normalizer3;Reference;999;-1;0;Fail;0,0102099395112248;999;999;0;
S96-A93;H20;Blank;0;normalizer1bis;Reference;26,1335936403789;5,19394935578889E-05;0,996104164651747;Pass;0,0102099395112248;87,9109145977422;999;1;
S96-A91;H20;Blank;0;gene3;Test;24,2141327325968;0,0743317892363502;1;Pass;0,0102099395112248;79,5451810515614;999;1;
S06-A01;J-N2R3;Unknown;250;normalizer1;Reference;3,76949697891312;227,733801678559;0,589832326304374;Fail;0,0102099395112248;80,2986747808442;999;1;
S06-A22;J-N2R3;Unknown;250;gene1;Test;5,79006590399382;16239,0905538484;1;Pass;0,0102099395112248;82,8216779228689;999;1;
S06-A29;J-N2R3;Unknown;250;gene4;Test;15,0378670519352;28,9797431092516;0,940994361990275;Pass;0,0102099395112248;77,5886641411199;999;1;
S06-A67;J-N2R3;Unknown;250;gene2;Test;9,59560739477113;265,521912019532;1;Pass;0,0102099395112248;81,0770718778899;999;1;
S06-A96;J-N2R3;Unknown;250;normalizer2;Reference;11,3259313043754;268,321325711433;1;Pass;0,0102099395112248;82,4788813304918;999;1;
S06-A95;J-N2R3;Unknown;250;normalizer3;Reference;6,64749398501184;182,618870960462;1;Pass;0,0102099395112248;80,3161884285754;999;1;
S06-A93;J-N2R3;Unknown;250;normalizer1bis;Reference;3,56723320832504;270,371163602831;0,52241106944168;Fail;0,0102099395112248;80,3972757961372;999;1;
S06-A91;J-N2R3;Unknown;250;gene3;Test;9,51982368320793;288,234334670815;1;Pass;0,0102099395112248;85,9095590868307;999;1;
S95-A01;R- Mix 1/160;Standard;1,56;normalizer1;Reference;11,6108248924913;1,16076296542299;0,997027840668332;Pass;0,0102099395112248;80,242530820645;999;1;
S95-A22;R- Mix 1/160;Standard;1,56;gene1;Test;19,3372888029057;0,919383043227437;1;Pass;0,0102099395112248;82,4299638399673;999;1;
S95-A29;R- Mix 1/160;Standard;1,56;gene4;Test;18,3720887203894;3,77404421563047;0,995052036909435;Pass;0,0102099395112248;77,434497882851;999;1;
S95-A67;R- Mix 1/160;Standard;1,56;gene2;Test;18,0809328753414;1,3458908721042;0,949575686008984;Pass;0,0102099395112248;80,9638324547298;999;1;
